instance,divisor,cost
10/prob10a/a/density_0.1.json,6,5966
10/prob10a/a/density_0.1.json,8,5981
10/prob10a/a/density_0.1.json,10,6254
10/prob10a/a/density_0.5.json,2,7241
10/prob10a/a/density_0.5.json,4,7241
10/prob10a/a/density_0.5.json,6,8557
10/prob10a/a/density_0.5.json,8,8557
10/prob10a/a/density_0.5.json,10,6659
10/prob10a/a/density_0.25.json,2,6177
10/prob10a/a/density_0.25.json,4,6177
10/prob10a/a/density_0.25.json,6,6177
10/prob10a/a/density_0.25.json,8,6999
10/prob10a/a/density_0.25.json,10,7006
10/prob10a/a/density_0.75.json,2,8879
10/prob10a/a/density_0.75.json,4,8879
10/prob10a/a/density_0.75.json,6,8879
10/prob10a/a/density_0.75.json,8,8879
10/prob10a/a/density_0.75.json,10,8879
